ax,ay,az
-0.411581,1.026655,0.462930
-0.411581,1.026655,0.462930
-0.389442,1.052537,0.418392
-0.283736,1.176074,0.205734
-0.178031,1.299585,-0.006925
-0.072325,1.423122,-0.219542
0.033411,1.546633,-0.432201
0.180425,1.654173,-0.634139
0.657937,1.633871,-0.750642
1.135449,1.613570,-0.867145
1.612961,1.593268,-0.983608
2.090473,1.572966,-1.100110
2.563606,1.550645,-1.213620
2.378009,1.224330,-0.875559
2.192381,0.898042,-0.537539
2.006784,0.571727,-0.199519
1.821187,0.245439,0.138542
1.635590,-0.080876,0.476563
1.334795,-0.339483,0.593794
1.022455,-0.591287,0.688816
0.710085,-0.843092,0.783879
0.397746,-1.094896,0.878902
0.085376,-1.346700,0.973965
0.021805,-1.447385,0.955924
0.019999,-1.510549,0.909848
0.018192,-1.573686,0.863773
0.016385,-1.636850,0.817698
0.014579,-1.700013,0.771582
-0.033313,-1.693131,0.732303
-0.100038,-1.657656,0.695774
-0.166762,-1.622181,0.659246
-0.233486,-1.586733,0.622717
-0.300211,-1.551258,0.586189
-0.568516,-1.566192,0.485179
-0.962554,-1.612589,0.343919
-1.356561,-1.658985,0.202700
-1.750599,-1.705381,0.061440
-2.144637,-1.751751,-0.079820
-2.170696,-1.724274,-0.101138
-1.854130,-1.628027,-0.010849
-1.537565,-1.531780,0.079441
-1.221000,-1.435534,0.169731
-0.904465,-1.339287,0.260021
-0.665464,-1.197494,0.187692
-0.537925,-0.990252,-0.118250
-0.410417,-0.783010,-0.424191
-0.282879,-0.575769,-0.730133
-0.155371,-0.368527,-1.036074
-0.163547,-0.236566,-1.186395
-0.460361,-0.264680,-1.005775
-0.757176,-0.292768,-0.825196
-1.053990,-0.320855,-0.644576
-1.350804,-0.348969,-0.463996
-1.554192,-0.326568,-0.367153
-1.412445,-0.117546,-0.579771
-1.270698,0.091449,-0.792429
-1.128951,0.300445,-1.005047
-0.987235,0.509441,-1.217706
-0.820440,0.700473,-1.425348
-0.460024,0.752582,-1.594358
-0.099640,0.804718,-1.763368
0.260745,0.856828,-1.932378
0.621130,0.908964,-2.101388
0.970521,0.958788,-2.263036
0.664857,0.871576,-1.986423
0.359193,0.784390,-1.709809
0.053529,0.697178,-1.433196
-0.252135,0.609992,-1.156542
-0.557829,0.522780,-0.879928
-0.705333,0.489378,-0.883407
-0.840497,0.460201,-0.908811
-0.975660,0.430997,-0.934215
-1.110823,0.401820,-0.959579
-1.245987,0.372617,-0.984983
-1.069944,0.354228,-0.579448
-0.830085,0.338046,-0.085483
-0.590227,0.321889,0.408481
-0.350369,0.305706,0.902445
-0.110510,0.289550,1.396410
0.195123,0.338896,1.569384
0.524366,0.411759,1.627231
0.853608,0.484622,1.685078
1.182851,0.557484,1.742885
1.512093,0.630321,1.800732
1.490811,0.596998,1.757771
1.263600,0.501283,1.655629
1.036419,0.405541,1.553446
0.809207,0.309825,1.451304
0.581995,0.214110,1.349121
0.470870,0.182488,1.261420
0.466093,0.209539,1.186947
0.461285,0.236590,1.112474
0.456478,0.263668,1.038001
0.451670,0.290719,0.963529
0.447383,0.315246,0.835861
0.443770,0.336159,0.633680
0.440156,0.357072,0.431458
0.436543,0.377985,0.229277
0.432930,0.398897,0.027055
0.425336,0.390049,-0.118492
