ax,ay,az
0.765601,-0.271103,-0.709283
0.317106,-0.329661,-0.418765
-0.136691,-0.386311,-0.106659
-0.151402,-0.390619,-0.035048
-0.143187,-0.379986,-0.003577
-0.128954,-0.357686,-0.006785
-0.121455,-0.340730,-0.004357
-0.097478,-0.322464,-0.022650
-0.077943,-0.303981,-0.045711
-0.065381,-0.295693,-0.035915
-0.067005,-0.285988,-0.034354
-0.060270,-0.278573,-0.046665
-0.064569,-0.276011,-0.106572
-0.061608,-0.284244,-0.190147
-0.056115,-0.293622,-0.288634
-0.029272,-0.309870,-0.369175
-0.011409,-0.325790,-0.376024
-0.012459,-0.342038,-0.313516
-0.029033,-0.336095,-0.230114
-0.061369,-0.330316,-0.145412
-0.098911,-0.316412,-0.093308
-0.126900,-0.299237,-0.147146
-0.132393,-0.281190,-0.239651
-0.130530,-0.281899,-0.301465
-0.122935,-0.275247,-0.335623
-0.123365,-0.276828,-0.336750
-0.137838,-0.293949,-0.264272
-0.151832,-0.324427,-0.178010
-0.146674,-0.362266,-0.118796
-0.121598,-0.414609,-0.091400
-0.092988,-0.460954,-0.045971
-0.065524,-0.481509,-0.039556
-0.042455,-0.476929,-0.030886
-0.037869,-0.451957,-0.024991
-0.048712,-0.407030,-0.015975
-0.065381,-0.348799,-0.039729
-0.076271,-0.287733,-0.121224
-0.092558,-0.238444,-0.220144
-0.096522,-0.208347,-0.273722
-0.109514,-0.195316,-0.281178
-0.121120,-0.201968,-0.259417
-0.121025,-0.243678,-0.174108
-0.099961,-0.316194,-0.057849
-0.076175,-0.362375,-0.022390
-0.033380,-0.217834,-0.202198
-0.098242,0.261807,-0.615565
-0.503894,1.015919,-0.988705
-0.962180,1.744350,-0.869151
-1.146307,2.290674,-0.632297
-1.015245,2.494863,-0.485347
-0.379375,2.105676,-0.313256
0.998398,1.173219,-0.565628
2.653484,0.141583,-1.488161
3.679960,-0.898230,-1.749983
3.935970,-1.911764,-0.815313
3.592983,-2.613806,0.462675
2.653484,-2.833262,1.717514
1.232819,-2.686267,3.140804
-0.150590,-2.200192,3.867317
-1.090520,-1.412603,3.763888
-1.826787,-0.504518,3.323212
-2.372480,0.273911,2.985704
-2.629207,0.815818,2.521620
-2.341339,1.164113,1.891773
-1.957276,1.360779,1.104919
-1.601441,1.359852,0.783450
-1.238012,1.349874,0.673346
-0.852707,1.361815,0.816221
-0.652055,1.418192,1.008253
-0.509148,1.475114,1.142112
-0.302190,1.555809,0.901357
-0.088737,1.570639,0.716261
0.074804,1.590813,0.330203
0.158676,1.581653,-0.036695
0.199704,1.526857,-0.279531
0.232565,1.443763,-0.381659
0.278179,1.350474,-0.540573
0.323219,1.231777,-0.690644
0.410721,1.084400,-0.759047
0.516325,0.924320,-0.814532
0.599624,0.760096,-0.914580
0.645238,0.580387,-0.914840
0.672081,0.398606,-0.876173
0.658994,0.223423,-0.851898
0.596376,0.059798,-0.813492
0.497889,-0.112386,-0.704688
0.386601,-0.297166,-0.594931
0.287636,-0.503155,-0.452229
0.230559,-0.697421,-0.368047
0.210499,-0.860718,-0.341952
0.179214,-0.948992,-0.410529
0.131498,-0.953408,-0.436451
0.013428,-0.872495,-0.437058
-0.161815,-0.730299,-0.443473
-0.347947,-0.580414,-0.417551
-0.479773,-0.455174,-0.375157
-0.556958,-0.363139,-0.401946
-0.551131,-0.312269,-0.453183
-0.010358,-0.259599,-0.653538
0.540111,-0.217180,-0.857707
