ax,ay,az
1.119755,-0.276622,-0.741654
0.485964,-0.241416,-0.538163
-0.154344,-0.194526,-0.332855
-0.210098,-0.142269,-0.442413
-0.236162,-0.099169,-0.515088
-0.257188,-0.068541,-0.575863
-0.250940,-0.075725,-0.547247
-0.227362,-0.111562,-0.491105
-0.178661,-0.161767,-0.438506
-0.125123,-0.217734,-0.366739
-0.089654,-0.267465,-0.253093
-0.073533,-0.304171,-0.152256
-0.069502,-0.312144,-0.110831
-0.071450,-0.305987,-0.130453
-0.094289,-0.293515,-0.157797
-0.113031,-0.272202,-0.189230
-0.134057,-0.236916,-0.262814
-0.141513,-0.205499,-0.342211
-0.152731,-0.171950,-0.413797
-0.153873,-0.149137,-0.464034
-0.152463,-0.153873,-0.504459
-0.140438,-0.170135,-0.513726
-0.129556,-0.191211,-0.487381
-0.125257,-0.221444,-0.414069
-0.137483,-0.244731,-0.308417
-0.150985,-0.249388,-0.231381
-0.164554,-0.248836,-0.157343
-0.201030,-0.248599,-0.073585
-0.225952,-0.244810,-0.033341
-0.226690,-0.241574,-0.039609
-0.204993,-0.250494,-0.024711
-0.168719,-0.274333,-0.036429
-0.131773,-0.303698,-0.072131
-0.108799,-0.326748,-0.125094
-0.112964,-0.306066,-0.227566
-0.207479,-0.171634,-0.405439
-0.429826,0.107491,-0.533530
-0.835560,0.556333,-0.751374
-1.237264,1.058616,-0.823050
-1.413462,1.478330,-0.809151
-1.353812,1.799371,-0.995019
-1.056430,1.938381,-1.324148
-0.353919,1.770796,-1.466047
0.434240,1.378552,-1.333959
1.023024,0.958207,-1.213227
1.545306,0.476921,-1.112208
2.064565,-0.043439,-0.902085
2.384047,-0.541223,-0.697140
2.551983,-0.970093,-0.711675
2.681563,-1.390123,-0.643996
2.736780,-1.765947,-0.192227
2.597662,-2.028101,0.452040
2.198376,-2.118011,1.017274
1.601397,-2.120774,1.589593
0.901573,-2.061807,2.237586
0.105084,-1.899432,2.767026
-0.788605,-1.598441,2.881036
-1.568904,-1.326499,3.087253
-2.042283,-1.013194,3.182276
-2.254622,-0.601216,2.778654
-2.313601,-0.214735,2.199794
-2.149426,-0.013048,1.906367
-1.733280,0.195191,1.534360
-1.303968,0.444478,0.981845
-1.037957,0.640955,0.778717
-0.855981,0.853219,0.813692
-0.734060,1.124766,0.791435
-0.793845,1.368764,0.720849
-0.853496,1.543375,0.785167
-0.824879,1.657599,0.793343
-0.745748,1.714197,0.713127
-0.672057,1.724775,0.666887
-0.531125,1.726906,0.669431
-0.397717,1.722486,0.650899
-0.285871,1.709461,0.675517
-0.185445,1.654836,0.727571
-0.042834,1.580081,0.709675
0.112272,1.482040,0.644721
0.275237,1.354476,0.494192
0.426380,1.207730,0.248731
0.573694,1.053564,-0.045877
0.670224,0.888189,-0.325314
0.729606,0.689896,-0.514634
0.755267,0.479605,-0.623738
0.795437,0.286207,-0.746287
0.803095,0.071495,-0.831045
0.844609,-0.118114,-0.896544
0.877188,-0.251204,-1.042985
0.832987,-0.380584,-1.115206
0.710192,-0.530487,-1.021727
0.547429,-0.652367,-0.922707
0.348861,-0.804008,-0.810423
0.185022,-0.982802,-0.676791
0.106226,-1.123154,-0.628553
0.029849,-1.196409,-0.632187
-0.092409,-1.221985,-0.532803
-0.260009,-1.168149,-0.384272
-0.440776,-1.068845,-0.181054
0.125505,-0.861632,-0.365104
0.731420,-0.675575,-0.572138
