ax,ay,az
-0.281762,-1.421405,-0.515356
-0.281762,-1.421405,-0.515356
-0.281762,-1.421405,-0.515356
-0.281762,-1.421405,-0.515356
-0.282427,-1.406519,-0.518122
-0.290888,-1.217239,-0.553534
-0.299349,-1.028080,-0.588895
-0.307810,-0.838920,-0.624307
-0.316300,-0.649640,-0.659718
-0.324761,-0.460481,-0.695080
-0.415668,-0.547013,-0.805741
-0.509896,-0.644557,-0.919420
-0.604095,-0.741981,-1.033150
-0.698294,-0.839526,-1.146829
-0.792522,-0.937070,-1.260508
-0.950801,-0.945300,-1.540179
-1.118407,-0.940580,-1.843944
-1.286014,-0.935739,-2.147709
-1.453591,-0.931019,-2.451474
-1.621197,-0.926299,-2.755239
-1.547212,-0.628582,-2.675915
-1.402333,-0.244939,-2.484220
-1.257425,0.138584,-2.292474
-1.112545,0.522227,-2.100728
-0.967637,0.905870,-1.908983
-0.852299,0.854436,-1.536859
-0.754231,0.548610,-1.059155
-0.656162,0.242785,-0.581451
-0.558093,-0.063041,-0.103746
-0.460024,-0.368867,0.373908
-0.285401,-0.305450,0.545432
-0.052069,0.041039,0.482305
0.181234,0.387528,0.419178
0.414566,0.734018,0.356051
0.647898,1.080628,0.292924
0.798784,1.233117,0.285127
0.855557,1.164134,0.340508
0.912331,1.095151,0.395889
0.969104,1.026046,0.451270
1.025849,0.957063,0.506651
1.060185,0.862423,0.507154
1.057961,0.726030,0.418172
1.055709,0.589637,0.329190
1.053456,0.453123,0.240209
1.051204,0.316730,0.151227
1.096195,0.336456,0.102184
1.294412,0.863149,0.182816
1.492628,1.389842,0.263397
1.690816,1.916414,0.343979
1.889033,2.443107,0.424560
2.019589,2.780398,0.482808
1.842164,2.255279,0.439399
1.664739,1.730280,0.395939
1.487286,1.205282,0.352480
1.309861,0.680162,0.309020
1.152853,0.201516,0.281455
1.212890,0.215796,0.422599
1.272956,0.230077,0.563692
1.332992,0.244237,0.704785
1.393058,0.258518,0.845928
1.453095,0.272798,0.987021
1.365480,0.195586,0.864992
1.276161,0.117405,0.739945
1.186813,0.039224,0.614847
1.097495,-0.038957,0.489800
1.008176,-0.117138,0.364703
0.808082,-0.321304,0.591860
0.593030,-0.542414,0.866601
0.377978,-0.763523,1.141393
0.162925,-0.984753,1.416135
-0.052156,-1.205863,1.690927
-0.161978,-1.315873,1.485751
-0.244106,-1.396595,1.154220
-0.326234,-1.477318,0.822739
-0.408333,-1.558040,0.491259
-0.490462,-1.638642,0.159778
-0.372785,-1.081088,0.340458
-0.166627,-0.240824,0.747892
0.039502,0.599319,1.155276
0.245660,1.439462,1.562711
0.451789,2.279725,1.970095
0.285511,2.239667,1.801739
-0.135324,1.598123,1.239932
-0.556129,0.956579,0.678125
-0.976964,0.315156,0.116369
-1.397770,-0.326387,-0.445438
-1.582010,-0.638385,-0.578533
-1.511606,-0.595543,-0.250222
-1.441202,-0.552701,0.078140
-1.370798,-0.509858,0.406452
-1.300395,-0.467016,0.734814
-1.230511,-0.412919,0.841703
-1.161493,-0.341878,0.610069
-1.092446,-0.270717,0.378384
-1.023400,-0.199555,0.146750
-0.954353,-0.128393,-0.084884
-0.893421,-0.157923,-0.256861
-0.852039,-0.431072,-0.284476
-0.810658,-0.704222,-0.312142
-0.769305,-0.977371,-0.339757
