ax,ay,az
-0.196207,-0.220971,-0.316286
-0.196207,-0.220971,-0.316286
-0.196207,-0.220971,-0.316286
-0.196207,-0.220971,-0.316286
-0.196207,-0.220971,-0.316286
-0.017340,-0.356093,-0.187664
0.353272,-0.635634,0.079213
0.723597,-0.915174,0.346091
1.093923,-1.194715,0.612401
1.464535,-1.474256,0.879279
1.671162,-1.462892,0.992602
1.614783,-0.984595,0.858880
1.558690,-0.506297,0.725725
1.502598,-0.028206,0.592003
1.446505,0.450091,0.458848
1.282520,0.829837,0.277530
0.849520,0.963719,-0.022778
0.416519,1.097601,-0.323653
-0.016481,1.231690,-0.623960
-0.449196,1.365572,-0.924835
-0.856726,1.508131,-1.248941
-1.159225,1.686227,-1.670505
-1.462011,1.864323,-2.092636
-1.764796,2.042213,-2.514200
-2.067296,2.220309,-2.935764
-2.309124,2.311836,-3.259303
-1.938798,1.534164,-2.592393
-1.568472,0.756285,-1.926050
-1.198147,-0.021388,-1.259140
-0.827821,-0.799061,-0.592796
-0.457495,-1.576940,0.073547
0.085115,-1.664748,0.520609
0.629728,-1.745945,0.964838
1.174055,-1.826936,1.409634
1.718383,-1.907926,1.853863
2.262996,-1.988916,2.298091
2.037195,-1.600493,2.079377
1.716952,-1.154633,1.779069
1.396995,-0.708566,1.478761
1.076752,-0.262706,1.179020
0.756795,0.183154,0.878712
0.401065,0.364969,0.525709
0.036463,0.478397,0.159106
-0.328425,0.591825,-0.207496
-0.693313,0.705459,-0.574665
-1.058201,0.818887,-0.941267
-1.036451,0.701327,-0.704987
-0.845851,0.482529,-0.205229
-0.654964,0.263731,0.294528
-0.464078,0.044933,0.794852
-0.273477,-0.173865,1.294610
-0.206223,-0.112502,1.232282
-0.223108,0.138733,0.787486
-0.239993,0.389969,0.342691
-0.256878,0.641204,-0.101538
-0.273477,0.892439,-0.546334
-0.170450,0.905662,-0.642092
0.054207,0.678807,-0.386547
0.278863,0.451951,-0.131002
0.503234,0.224889,0.124543
0.727890,-0.001967,0.380088
0.862684,-0.219319,0.582371
0.862684,-0.421794,0.704760
0.862684,-0.624477,0.827150
0.862684,-0.827159,0.948973
0.862684,-1.029842,1.071362
0.774825,-1.164137,1.103093
0.482914,-1.139757,0.925741
0.191004,-1.115378,0.747823
-0.100907,-1.090998,0.569905
-0.392817,-1.066825,0.391987
-0.665553,-0.977363,0.202736
-0.861877,-0.632948,-0.030711
-1.058487,-0.288532,-0.264158
-1.254812,0.056090,-0.497038
-1.451422,0.400506,-0.730485
-1.580492,0.724467,-0.910669
-1.137189,0.874464,-0.632460
-0.693599,1.024462,-0.354817
-0.250010,1.174459,-0.076607
0.193293,1.324250,0.201036
0.634021,1.471561,0.476413
0.673229,1.232516,0.432217
0.712722,0.993471,0.388020
0.751930,0.754425,0.343258
0.791138,0.515173,0.299061
0.830345,0.276127,0.254298
0.691258,-0.062296,0.229934
0.534142,-0.410638,0.207836
0.377025,-0.759185,0.185738
0.219909,-1.107733,0.163639
0.062792,-1.456281,0.140975
-0.276339,-1.240582,-0.115137
-0.657826,-0.892034,-0.426210
-1.039599,-0.543487,-0.737284
-1.421372,-0.195145,-1.048358
-1.802859,0.153402,-1.359431
-1.481758,0.381084,-1.164514
-0.874756,0.559594,-0.763915
-0.267753,0.738310,-0.363316
